score,max_tile,board_state
1316,128,[4 1 3 1 1 4 6 2 3 7 2 1 5 2 1 2]
584,64,[1 3 5 2 4 6 2 3 3 4 3 1 1 2 1 2]
628,64,[4 2 4 1 2 6 5 2 1 2 4 1 2 3 1 3]
580,64,[2 1 5 1 1 3 4 3 2 6 1 2 4 2 4 1]
648,64,[1 2 3 2 4 5 6 1 2 1 2 3 1 5 1 2]
1308,128,[1 2 1 2 4 6 5 3 2 1 7 2 1 4 3 1]
1508,128,[1 2 1 6 2 4 7 1 3 6 2 3 1 2 4 2]
296,32,[1 5 2 1 3 2 1 3 2 1 3 5 1 3 2 1]
1100,128,[3 1 4 1 1 2 3 2 5 7 5 1 1 3 1 2]
1304,128,[2 4 2 1 1 2 3 2 3 6 5 3 1 2 7 2]
1128,128,[1 5 2 3 2 7 3 1 4 2 5 2 2 4 2 1]
712,64,[2 1 3 1 5 3 6 4 3 4 5 2 1 2 3 1]
512,32,[1 2 3 1 2 3 5 2 5 2 4 3 1 4 5 1]
608,64,[3 1 3 2 4 5 2 1 3 6 4 2 1 3 1 3]
756,64,[2 5 2 1 3 4 6 4 4 5 2 3 1 2 3 2]
684,64,[1 2 4 1 3 4 3 5 2 1 6 3 1 2 5 2]
648,64,[2 1 2 1 1 4 5 3 3 5 6 1 1 2 3 2]
312,32,[2 1 4 1 3 5 2 3 4 3 4 1 1 2 1 2]
628,64,[1 2 6 3 2 5 2 4 4 2 4 2 2 4 2 1]
712,64,[3 1 3 1 2 6 1 2 4 5 4 1 1 2 5 3]
532,64,[1 2 1 2 2 4 3 1 5 3 2 3 1 2 1 6]
1068,128,[1 7 1 2 4 2 5 1 2 3 2 5 1 2 3 2]
1336,128,[2 4 2 1 3 6 3 2 5 7 1 4 1 2 3 2]
572,32,[1 2 3 2 2 4 5 3 4 5 3 4 1 2 5 2]
1196,128,[1 6 3 2 2 7 2 1 4 2 4 2 3 1 2 1]
1368,128,[4 1 3 2 2 4 6 5 1 2 7 3 4 3 2 1]
1192,128,[4 5 4 1 2 4 7 3 3 5 2 1 1 2 3 2]
1424,128,[1 4 2 1 2 5 3 4 1 7 6 5 3 1 3 1]
948,64,[1 3 4 3 6 4 6 4 1 3 5 3 2 1 2 1]
1384,128,[2 3 6 2 1 7 5 1 5 4 2 3 2 1 4 1]
724,64,[5 4 3 1 3 5 4 2 2 3 1 6 1 2 3 1]
1064,128,[2 1 3 1 3 2 4 3 2 7 5 4 1 4 2 1]
668,64,[1 2 4 1 5 1 6 5 2 3 2 1 1 2 4 2]
1492,128,[3 2 4 1 6 7 6 2 2 4 2 1 1 3 1 2]
2468,256,[1 5 4 1 3 8 6 2 4 2 5 3 2 4 2 1]
640,64,[1 2 3 2 2 5 4 5 3 6 2 1 1 2 1 3]
1264,128,[3 1 3 1 4 2 6 3 2 5 3 1 1 7 1 2]
312,32,[1 2 1 3 2 3 2 4 3 4 5 1 1 2 4 2]
704,64,[2 4 2 1 1 6 1 2 3 1 6 3 1 3 1 2]
620,64,[3 2 4 2 2 4 3 6 1 2 5 2 4 1 3 1]
836,64,[2 5 2 1 3 2 6 3 1 6 4 2 2 1 2 1]
560,64,[1 2 3 2 3 4 5 3 2 6 3 2 1 3 2 1]
720,64,[1 4 1 2 5 1 5 4 1 4 6 2 2 3 2 1]
788,64,[1 3 5 2 3 5 2 3 2 4 6 5 1 3 2 1]
1452,128,[1 2 3 1 4 3 4 5 1 7 6 2 2 5 1 3]
612,64,[2 1 3 1 5 2 4 2 4 3 6 4 1 2 3 1]
784,64,[1 2 1 2 3 6 4 3 4 2 6 2 2 4 2 1]
1208,128,[3 2 4 2 2 1 3 6 1 7 4 2 2 3 2 1]
1312,128,[2 1 4 1 4 5 2 6 2 4 7 2 1 3 2 1]
1692,128,[3 4 2 1 1 7 5 3 6 3 6 1 1 2 5 2]
620,64,[1 2 3 2 2 4 6 3 1 2 4 5 3 4 1 2]
1020,128,[3 4 1 2 1 5 2 3 2 3 7 2 4 2 3 1]
1280,128,[5 1 4 2 2 5 3 5 1 4 7 2 2 1 2 4]
876,64,[1 2 3 1 2 6 1 3 5 3 4 2 4 6 2 1]
232,32,[2 1 3 2 1 2 5 1 3 1 3 2 1 2 1 4]
1204,128,[1 4 3 1 2 5 4 2 3 7 5 3 1 4 3 2]
1360,128,[1 4 1 3 3 6 3 1 4 1 5 4 1 3 7 3]
976,128,[1 2 3 1 3 4 1 2 2 7 5 1 1 2 3 2]
628,64,[1 4 2 1 2 3 5 3 1 4 6 4 2 1 3 2]
1400,128,[3 1 2 1 1 4 6 5 3 7 3 2 1 2 5 1]
760,64,[1 3 4 1 3 5 6 2 1 4 5 3 2 3 4 1]
1916,128,[2 1 3 1 1 2 7 4 7 3 2 1 2 1 6 2]
328,32,[1 2 3 2 3 4 5 1 1 3 4 3 2 4 3 1]
528,64,[1 3 2 1 2 4 3 4 3 6 4 3 1 3 2 1]
280,32,[2 4 2 1 1 3 1 3 3 4 5 2 1 3 2 1]
612,64,[2 1 4 2 1 3 5 3 4 6 4 2 1 2 3 1]
628,64,[4 1 2 1 1 3 5 2 3 4 6 3 2 3 4 2]
960,64,[2 5 4 1 1 6 3 2 5 2 6 3 1 3 2 1]
1588,128,[1 3 1 2 3 6 5 4 2 7 6 3 1 2 3 2]
1144,128,[4 2 5 1 2 7 1 4 1 5 4 2 2 1 2 3]
424,64,[2 4 2 1 1 6 1 3 2 1 2 1 1 2 4 2]
